"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2021-03-08 04:32:35","ETCBTC","SELL","0.0002293000","0.5200000000ETC","0.00011924BTC","0.0000191300BNB"
"2021-03-08 02:41:40","ETCBTC","BUY","0.0002263000","0.5200000000ETC","0.00011768BTC","0.0000190900BNB"
"2021-03-07 21:36:34","NULSBTC","SELL","0.0000130000","9.0000000000NULS","0.00011700BTC","0.0000192000BNB"
"2021-03-06 17:26:22","DUSKBTC","BUY","0.0000050800","31.0000000000DUSK","0.00015748BTC","0.0000255700BNB"
"2021-03-06 17:22:19","NXSBTC","SELL","0.0000264800","6.0000000000NXS","0.00015888BTC","0.0000257400BNB"
"2021-03-02 14:48:16","XTZBTC","BUY","0.0000765000","1.5100000000XTZ","0.00011552BTC","0.0000168700BNB"
"2021-03-02 09:33:30","SFPBTC","SELL","0.0000380000","3.0000000000SFP","0.00011400BTC","0.0000159200BNB"
"2021-03-02 02:42:47","SFPBTC","BUY","0.0000368600","3.0000000000SFP","0.00011058BTC","0.0000161300BNB"
"2021-03-02 02:33:18","OAXBTC","BUY","0.0000047900","22.0000000000OAX","0.00010538BTC","0.0000181400BNB"
"2021-03-01 18:52:07","EVXBTC","BUY","0.0000107800","19.0000000000EVX","0.00020482BTC","0.0000309300BNB"
"2021-03-01 15:20:30","ENJBTC","SELL","0.0000150000","13.0000000000ENJ","0.00019500BTC","0.0000287800BNB"
"2021-03-01 09:16:47","FRONTBTC","SELL","0.0000600000","3.8000000000FRONT","0.00022800BTC","0.0000347500BNB"
"2021-02-28 15:19:27","EOSBTC","BUY","0.0000763000","1.5600000000EOS","0.00011903BTC","0.0000192800BNB"
"2021-02-28 12:02:52","NULSBTC","BUY","0.0000114200","9.0000000000NULS","0.00010278BTC","0.0000161400BNB"
"2021-02-28 08:40:02","FRONTBTC","BUY","0.0000571300","3.8000000000FRONT","0.00021709BTC","0.0000345700BNB"
"2021-02-27 19:19:31","MITHBTC","SELL","5.400E-7","215.0000000000MITH","0.00011610BTC","0.0000186900BNB"
"2021-02-27 18:51:16","MITHBTC","BUY","5.000E-7","215.0000000000MITH","0.00010750BTC","0.0000170700BNB"
"2021-02-27 18:29:13","MITHBTC","SELL","5.100E-7","417.0000000000MITH","0.00021267BTC","0.0000326600BNB"
"2021-02-27 17:01:57","MITHBTC","BUY","5.000E-7","417.0000000000MITH","0.00020850BTC","0.0000339800BNB"
"2021-02-27 08:23:55","NXSBTC","BUY","0.0000233000","6.0000000000NXS","0.00013980BTC","0.0000213000BNB"
"2021-02-26 10:18:59","PHBBTC","BUY","1.600E-7","750.0000000000PHB","0.00012000BTC","0.0000181500BNB"
"2021-02-26 07:30:16","NASBTC","SELL","0.0000100000","25.3300000000NAS","0.00025330BTC","0.0000393400BNB"
"2021-02-25 10:30:51","ENJBTC","SELL","0.0000121000","10.0000000000ENJ","0.00012100BTC","0.0000182000BNB"
"2021-02-25 10:22:01","1INCHBTC","SELL","0.0000780000","1.60000000001INCH","0.00012480BTC","0.0000182200BNB"
"2021-02-25 09:02:08","REQBTC","BUY","0.0000019000","97.0000000000REQ","0.00018430BTC","0.0000283200BNB"
"2021-02-25 07:04:40","1INCHBTC","BUY","0.0000760400","1.60000000001INCH","0.00012166BTC","0.0000183300BNB"
"2021-02-25 06:55:15","TRXUSDT","SELL","0.0482500000","225.9000000000TRX","10.89967500USDT","0.0000328900BNB"
"2021-02-25 06:25:19","ENJBTC","BUY","0.0000109600","10.0000000000ENJ","0.00010960BTC","0.0000165000BNB"
"2021-02-24 12:01:57","ACMBTC","BUY","0.0004771000","0.5100000000ACM","0.00024332BTC","0.0000342300BNB"
"2021-02-24 11:55:34","ACMBTC","SELL","0.0005000000","0.2500000000ACM","0.00012500BTC","0.0000184100BNB"
"2021-02-24 11:44:27","ACMBTC","BUY","0.0004800000","0.2500000000ACM","0.00012000BTC","0.0000168800BNB"
"2021-02-24 11:43:28","ACMBTC","SELL","0.0004900000","0.2400000000ACM","0.00011760BTC","0.0000169300BNB"
"2021-02-24 11:41:22","ACMBTC","BUY","0.0004821000","0.2400000000ACM","0.00011570BTC","0.0000157700BNB"
"2021-02-24 11:37:28","ACMBTC","SELL","0.0004350000","0.5300000000ACM","0.00023055BTC","0.0000324300BNB"
"2021-02-24 11:36:15","ACMBTC","BUY","0.0004290000","0.5300000000ACM","0.00022737BTC","0.0000315100BNB"
"2021-02-24 11:25:12","ACMBTC","SELL","0.0004200000","0.5500000000ACM","0.00023100BTC","0.0000329300BNB"
"2021-02-24 11:00:00","ACMBTC","BUY","0.0004760000","0.5500000000ACM","0.00026180BTC","0.0000107200BNB"
"2021-02-24 08:22:04","NBSBTC","BUY","4.000E-7","325.0000000000NBS","0.00013000BTC","0.0000193000BNB"
"2021-02-24 08:00:20","BTCUSDT","BUY","50111.6100000000","0.0002250000BTC","11.27511225USDT","0.0000339900BNB"
"2021-02-24 02:10:27","TRXUSDT","BUY","0.0466200000","218.7000000000TRX","10.19579400USDT","0.0000321900BNB"
"2021-02-24 02:08:29","ADAUSDT","BUY","0.9930000000","10.3000000000ADA","10.22790000USDT","0.0000324600BNB"
"2021-02-24 02:05:29","DOTUSDT","BUY","35.8800000000","0.2800000000DOT","10.04640000USDT","0.0000318300BNB"
"2021-02-24 02:05:25","EOSUSDT","BUY","3.9744000000","2.5600000000EOS","10.17446400USDT","0.0000322500BNB"
"2021-02-23 18:12:09","NBSBTC","SELL","3.600E-7","474.0000000000NBS","0.00017064BTC","0.0000273300BNB"
"2021-02-23 18:10:28","BTCUSDT","SELL","46722.2500000000","0.0002150000BTC","10.04528375USDT","0.0000340300BNB"
"2021-02-23 18:05:49","DOCKBTC","SELL","7.500E-7","287.0000000000DOCK","0.00021525BTC","0.0000351000BNB"
"2021-02-23 18:05:18","BTCUSDT","SELL","47342.6800000000","0.0003580000BTC","16.94867944USDT","0.0000571600BNB"
"2021-02-23 18:04:39","OAXBTC","SELL","0.0000042300","56.0000000000OAX","0.00023688BTC","0.0000383100BNB"
"2021-02-23 18:04:10","CDTBTC","SELL","3.900E-7","312.0000000000CDT","0.00012168BTC","0.0000191500BNB"
"2021-02-23 17:46:32","BTCUSDT","SELL","47309.8100000000","0.0002750000BTC","13.01019775USDT","0.0000434400BNB"
"2021-02-23 17:45:58","CNDBTC","SELL","3.400E-7","432.0000000000CND","0.00014688BTC","0.0000236000BNB"
"2021-02-23 17:44:38","SNGLSBTC","SELL","2.300E-7","555.0000000000SNGLS","0.00012765BTC","0.0000204600BNB"
"2021-02-23 17:43:42","BTCUSDT","SELL","47387.7700000000","0.0002510000BTC","11.89433027USDT","0.0000393600BNB"
"2021-02-23 17:43:04","SCBTC","SELL","2.000E-7","598.0000000000SC","0.00011960BTC","0.0000188800BNB"
"2021-02-23 17:42:36","SNGLSBTC","SELL","2.300E-7","556.0000000000SNGLS","0.00012788BTC","0.0000204600BNB"
"2021-02-22 13:58:06","OAXBTC","BUY","0.0000053800","56.0000000000OAX","0.00030128BTC","0.0000533100BNB"
"2021-02-22 11:26:37","DODOBTC","BUY","0.0001125600","2.7000000000DODO","0.00030391BTC","0.0000473300BNB"
"2021-02-22 11:24:50","REEFBTC","BUY","7.100E-7","281.0000000000REEF","0.00019951BTC","0.0000310800BNB"
"2021-02-22 11:20:13","NEOUSDT","BUY","49.3780000000","0.2650000000NEO","13.08517000USDT","0.0000368800BNB"
